,"[1] INCR 8, LOAD=1.0",1,-0.0318954587,-0.0264304504,0.0124407336
,"[1] INCR 8, LOAD=1.0",2,-0.160473943,0.271841019,-0.0187539216
,"[1] INCR 8, LOAD=1.0",3,0.260005474,-0.0488791429,-0.0356323794
,"[1] INCR 8, LOAD=1.0",4,0.144068599,-0.245357662,-0.0175313428
,"[1] INCR 8, LOAD=1.0",5,-0.187831387,0.318061113,-0.0205498394
,"[1] INCR 8, LOAD=1.0",6,-0.112040758,-0.166165963,0.013730146
,"[1] INCR 8, LOAD=1.0",7,0.208658099,0.0694625601,-0.0130104199
,"[1] INCR 8, LOAD=1.0",8,0.204622567,0.0527225733,-0.0142154964
,"[1] INCR 8, LOAD=1.0",9,0.0371327512,0.403768748,0.0263683945
,"[1] INCR 8, LOAD=1.0",10,-0.0670368448,0.0555926114,-0.0262339134
,"[1] INCR 8, LOAD=1.0",11,0.0232960451,-0.151978329,-0.00311206514
,"[1] INCR 8, LOAD=1.0",12,0.107567959,0.151823089,0.0138272662
,"[1] INCR 8, LOAD=1.0",13,-0.156295091,-0.0772089958,-0.00462853303
,"[1] INCR 8, LOAD=1.0",14,-0.17013295,0.0268258713,-0.0225875173
,"[1] INCR 8, LOAD=1.0",15,0.0709371418,-0.0578299314,-0.0263419095
,"[1] INCR 8, LOAD=1.0",16,0.0572823547,0.151832476,0.0272499472
,"[1] INCR 8, LOAD=1.0",17,0.0598822795,0.120908484,0.0259134341
,"[1] INCR 8, LOAD=1.0",18,0.0245368332,-0.393008947,0.00825871155
,"[1] INCR 8, LOAD=1.0",19,0.0299318954,-0.1168378,-0.00550260581
,"[1] INCR 8, LOAD=1.0",20,0.187025771,-0.0161998887,-0.0204292573
,"[1] INCR 8, LOAD=1.0",21,-0.198050871,0.138513923,-0.0406867787
,"[1] INCR 8, LOAD=1.0",22,-0.0612707585,-0.169876233,0.0275253858
,"[1] INCR 8, LOAD=1.0",23,-0.183530927,0.0701634958,-0.0308316443
,"[1] INCR 8, LOAD=1.0",24,-0.00281931809,0.114145294,-0.000316412159
,"[1] INCR 8, LOAD=1.0",25,-0.25379625,0.0705311298,-0.0379486606
,"[1] INCR 8, LOAD=1.0",26,0.0250655804,0.019655494,0.0105086248
,"[1] INCR 8, LOAD=1.0",27,-0.0252642687,-0.0224144161,0.0119122742
,"[1] INCR 8, LOAD=1.0",28,-0.000157490038,-0.0723702461,0.000530770281
,"[1] INCR 8, LOAD=1.0",29,0,0,0
,"[1] INCR 8, LOAD=1.0",30,0,0,0
,"[1] INCR 8, LOAD=1.0",31,0.0686389059,0.252885818,0.026540773
,"[1] INCR 8, LOAD=1.0",32,-0.0201889668,0.392328292,0.00738242548
,"[1] INCR 8, LOAD=1.0",33,-0.0177718513,-0.299338937,0.0106272828
,"[1] INCR 8, LOAD=1.0",34,-0.098169677,0.122114167,-0.0346682779
,"[1] INCR 8, LOAD=1.0",35,0.081835717,-0.102535911,-0.0327714905
,"[1] INCR 8, LOAD=1.0",36,-0.0738179088,0.0974747092,-0.032005623
,"[1] INCR 8, LOAD=1.0",37,0.290352345,-0.11549972,-0.04820076
,"[1] INCR 8, LOAD=1.0",38,-0.0496516265,-0.0444930121,0.0141263157
,"[1] INCR 8, LOAD=1.0",39,-0.0736145526,-0.27940008,0.0264493171
,"[1] INCR 8, LOAD=1.0",40,0,0,0
,"[1] INCR 8, LOAD=1.0",41,0.0848766118,-0.0824882388,-0.0314103737
,"[1] INCR 8, LOAD=1.0",42,-0.0529775023,-0.0225423276,0.00503712893
,"[1] INCR 8, LOAD=1.0",43,0.106062807,0.202644601,0.0171587728
,"[1] INCR 8, LOAD=1.0",44,-0.058468543,-0.0460406877,0.0118763754
,"[1] INCR 8, LOAD=1.0",45,0.0508457199,0.0474157631,0.0149153499
,"[1] INCR 8, LOAD=1.0",46,-0.132601619,0.193379968,-0.019009348
,"[1] INCR 8, LOAD=1.0",47,0.018614199,0.0133911837,0.00786951929
,"[1] INCR 8, LOAD=1.0",48,-0.0204842798,-0.0147309834,0.00851413794
,"[1] INCR 8, LOAD=1.0",49,0,0,0
,"[1] INCR 8, LOAD=1.0",50,0.0208167434,-0.342717618,0.00653639622
,"[1] INCR 8, LOAD=1.0",51,0.118122965,0.236751333,0.0165834762
,"[1] INCR 8, LOAD=1.0",52,-0.261478603,0.0624750592,-0.0381234773
,"[1] INCR 8, LOAD=1.0",53,-0.0953890234,0.167636573,-0.0191601366
,"[1] INCR 8, LOAD=1.0",54,-0.245260298,0.185458139,-0.0392052494
,"[1] INCR 8, LOAD=1.0",55,-0.0163056459,-0.176014498,0.00623760745
,"[1] INCR 8, LOAD=1.0",56,0.206501588,-0.13326627,-0.0399036184
,"[1] INCR 8, LOAD=1.0",57,0.100725353,-0.167927295,-0.0200472493
,"[1] INCR 8, LOAD=1.0",58,0.196246356,-0.0896569863,-0.0338735953
,"[1] INCR 8, LOAD=1.0",59,0.173056275,-0.119945601,-0.0367512032
,"[1] INCR 8, LOAD=1.0",60,0.291404426,-0.184672743,-0.0528924167
,"[1] INCR 8, LOAD=1.0",61,0.0353298262,-0.0363747329,-0.0215008724
,"[1] INCR 8, LOAD=1.0",62,-0.145380706,-0.120345823,0.00251909997
,"[1] INCR 8, LOAD=1.0",63,-0.160702959,0.12422888,-0.0376973525
,"[1] INCR 8, LOAD=1.0",64,-0.085266456,0.0121403355,-0.0121893911
,"[1] INCR 8, LOAD=1.0",65,0.186766818,0.0121376133,-0.0178510472
,"[1] INCR 8, LOAD=1.0",66,0.0298365317,0.187509656,0.0101449965
,"[1] INCR 8, LOAD=1.0",67,0.0500921197,-0.056144055,-0.0269563235
,"[1] INCR 8, LOAD=1.0",68,0.0988548622,-0.375235468,-0.00516303722
,"[1] INCR 8, LOAD=1.0",69,0.147189349,-0.216202587,-0.0224320218
,"[1] INCR 8, LOAD=1.0",70,-0.151532963,0.211484924,-0.0256262869
,"[1] INCR 8, LOAD=1.0",71,0.161521569,-0.269397527,-0.0178582985
,"[1] INCR 8, LOAD=1.0",72,0.263166696,-0.0884374976,-0.040779721
,"[1] INCR 8, LOAD=1.0",73,0.141507611,0.0632730797,-0.00412183488
,"[1] INCR 8, LOAD=1.0",74,0.23073031,-0.124831207,-0.0408346318
,"[1] INCR 8, LOAD=1.0",75,-0.0561365485,-0.0733965859,0.0201772433
,"[1] INCR 8, LOAD=1.0",76,0.0532018542,0.0758045614,0.0215399303
,"[1] INCR 8, LOAD=1.0",77,0.228315324,-0.366266549,-0.0248778928
,"[1] INCR 8, LOAD=1.0",78,0,0,0
,"[1] INCR 8, LOAD=1.0",79,0.147651225,0.182772502,0.00816138368
,"[1] INCR 8, LOAD=1.0",80,0.163666859,-0.165530041,-0.0392460041
,"[1] INCR 8, LOAD=1.0",81,0.292475939,-0.154871002,-0.0515393429
,"[1] INCR 8, LOAD=1.0",82,-0.00110626663,0.0139749292,0.000478945964
,"[1] INCR 8, LOAD=1.0",83,0.249881595,-0.00862593483,-0.0294287596
,"[1] INCR 8, LOAD=1.0",84,0.0296957418,0.0659009963,0.0224592406
,"[1] INCR 8, LOAD=1.0",85,0.0464240983,0.378118366,0.0264474656
,"[1] INCR 8, LOAD=1.0",86,0.021768488,0.296722323,0.0104511809
,"[1] INCR 8, LOAD=1.0",87,0.0533165224,-0.117320672,-0.0104005365
,"[1] INCR 8, LOAD=1.0",88,0.128505126,-0.136185408,-0.0179327931
,"[1] INCR 8, LOAD=1.0",89,0.0302862208,0.140303761,0.0112705585
