% Model:              block.mph
% Version:            COMSOL 6.3.0.335
% Date:               Apr 23 2025, 15:01
% Dimension:          3
% Nodes:              1222
% Expressions:        3
% Description:        , , 
% Length unit:        m
% X                       Y                        Z                        x+u (m)                  y+v (m)                  z+w (m)
-0.5                      0.12334026554063306      0.058654779297131254     -0.5103816493334509      0.11821901019181007      0.05380172621512947
-0.5                      0.16666666666666663      0                        -0.5                     0.16666666666666663      0
-0.5                      0.08333333333333331      0                        -0.5                     0.08333333333333331      0
-0.5                      -0.033687816529225784    0.06661959115573879      -0.4970225004216648      -0.04161192596325097     0.06824301555757384
-0.5                      0                        0                        -0.5                     0                        0
-0.5                      -0.08333333333333331     0                        -0.5                     -0.08333333333333331     0
-0.5                      0.04507389949456296      0.06573682950521431      -0.5040605672787802      0.03705153333829672      0.06356629986295016
-0.5                      0.19193879173387263      0.052290372929467255     -0.5136549452135248      0.19123966722421634      0.044459585112437486
-0.5                      0.25                     0                        -0.5                     0.25                     0
-0.5                      0.25                     0.08333333333333336      -0.52078669877383        0.2542150525594425       0.06705566604239753
-0.5                      0.08533935595416114      0.1270691817354711       -0.5098690837869535      0.07856928714170591      0.11874150350085212
-0.49999999999999994      0.17452574373538438      0.12441268879082246      -0.519359435701051       0.17308172908286726      0.1070346639028338
-0.5                      0.25                     0.1666666666666667       -0.5320845013981753      0.25645774389349646      0.13542195872171806
-0.5                      -0.19804351781487872     0.055796016995343756     -0.48575867281693974     -0.19869227850845045     0.06521002148778585
-0.5                      -0.16666666666666669     0                        -0.5                     -0.16666666666666666     0
-0.5                      -0.25                    0                        -0.5                     -0.25                    0
-0.5                      -0.25                    0.08333333333333336      -0.4779404285209364      -0.24565639031085426     0.09992823909075182
-0.5                      -0.11956155883306634     0.07440367369011547      -0.4889590070158465      -0.12560609878998422     0.08158414350756292
-0.5                      -0.18975229969110305     0.12557696847349875      -0.47861953802057683     -0.1902743132443601      0.14497045571851266
-0.5                      -0.25                    0.1666666666666667       -0.46813205138641983     -0.24340304435570367     0.19783805914117367
-0.5                      -0.18111084114483497     0.20553737138791117      -0.47495580792089337     -0.17605005798744702     0.23412146948501067
-0.5                      -0.25                    0.25000000000000006      -0.4630675572591407      -0.23339769501001043     0.2962341037496765
-0.49999999999999994      -0.11612917918410198     0.16533049237414554      -0.48485265824355234     -0.11895832302131469     0.18023386958301704
-0.5                      -0.05757098090238943     0.12767843802140566      -0.49293768097441076     -0.06500934420370333     0.1333300989553016
-0.5                      0.00886882303327903      0.13286063698239103      -0.5010373837941499      7.477224589438908E-4     0.1319380072111567
-0.5                      0.05311696389661735      0.19888539860225318      -0.5072786563542767      0.05130311026122703      0.19097190221826735
-0.5                      0.25                     0.25000000000000006      -0.5368717412278617      0.2665314855739051       0.20384248409816882
-0.5                      0.17789897447325081      0.21249443370350707      -0.5247924886359864      0.18356008314883118      0.1837811018016958
-0.5                      0.11680420063876108      0.18686714592167664      -0.515749310633743       0.1159812009025443       0.17035312456423304
-0.5                      0.1102783860556873       0.251106837603558        -0.5161723991861801      0.11800946834040195      0.23042618421034186
-0.5                      -0.037132723743444895    0.2067129228287521       -0.49472723148695236     -0.03830086284789188     0.2124773258389843
-0.5                      -0.11127175725402641     0.24994004180098717      -0.4836037825247927      -0.10371425207042763     0.2707876129185998
-0.49999999999999994      -0.17961075371347637     0.2885418249120336       -0.4727042957258834      -0.1612094026077722      0.3270247837306177
-0.5                      -0.25                    0.3333333333333334       -0.46093976951572463     -0.21615521706021681     0.39481894484698493
-0.5                      0.17762583355436273      0.29092707634925374      -0.5269977169562042      0.19636800481460617      0.25259754264967643
-0.5                      0.25                     0.3333333333333334       -0.538985386884916       0.2838247446373286       0.2718835520686547
-0.49999999999999994      0.033156032894851195     0.2733623225359332       -0.5049540970617638      0.04282419343676879      0.2666631597344855
-0.5                      -0.038173893224196544    0.3032766143970448       -0.49411916722089755     -0.0221963835701107      0.3117773862757937
-0.5                      -0.25                    0.41666666666666674      -0.460414184036498       -0.19237015890380074     0.49320678440861593
-0.5                      -0.1762503252154592      0.37480348042454614      -0.4722223565629054      -0.1368121020411385      0.42307817596496605
-0.5                      -0.10769619256333965     0.33858063056825527      -0.48315609560837075     -0.0814208499111496      0.36526250371828545
-0.5                      0.10085002673908876      0.3242481882795334       -0.5156217068325235      0.12329594965720102      0.3003001963161082
-0.5                      0.03306901429721976      0.35951355199657076      -0.5051521242229867      0.06299764688381805      0.3509153880648093
-0.5                      -0.03850104312508469     0.3937632932563002       -0.4939078716263416      0.0014507774017009645    0.40474652306295117
-0.5                      -0.17623525668995887     0.46102562594159147      -0.4721893234851933      -0.10887155741160205     0.5196892825920408
-0.5                      -0.25                    0.5000000000000001       -0.4608116805418962      -0.1627295024301245      0.5911448920067252
-0.5                      0.1775966678044385       0.3750000000000002       -0.5279029875436066      0.21717951411623657      0.3264100503124534
-0.5                      0.25                     0.41666666666666674      -0.5395195072171522      0.3076209716835207       0.340187149366322
-0.5000000000000001       -0.10635892927348542     0.42673924548738873      -0.4831454135213275      -0.054211648551380255    0.4594271867806387
-0.5                      0.10516188651616018      0.4109719857567985       -0.5165755974799621      0.15212760319333832      0.3798332511682076
-0.49999999999999994      0.03443661712071928      0.44372536354846515      -0.5054204872841207      0.09065916703930109      0.43283310525848634
-0.5                      -0.036138415057592854    0.47746264128504734      -0.49428794172030904     0.032286531865105945     0.48976876572473044
-0.5                      0.1775966678044385       0.4583333333333335       -0.5279530361328995      0.24407366227079966      0.3995955891815037
-0.5                      0.25                     0.5000000000000001       -0.5391130525027149      0.3372606191206504       0.40892789339509933
-0.5                      -0.1064463876617158      0.5095459818790911       -0.4833255359057885      -0.023901903313192807    0.548123232594366
-0.5                      -0.17636566596051276     0.5439320731052355       -0.4726806035963829      -0.07638026076567071     0.6123911851983261
-0.5                      -0.25                    0.5833333333333335       -0.46182533227180594     -0.12767722675215074     0.6885359318175568
-0.5                      0.10518557709687718      0.4918801722394196       -0.5164554736201029      0.18074285622233768      0.45507167280450916
-0.5                      0.17759666780443845      0.5416666666666669       -0.52742785486762        0.2766645660218279       0.4730557365970603
-0.5                      0.25                     0.5833333333333335       -0.5380726240421958      0.37232841327945176      0.4782271217483908
-0.5                      -0.03590024690339028     0.5606624230777318       -0.4944362139963346      0.06651080192071644      0.5748126543217994
-0.5                      0.03356963608812162      0.5264868128436133       -0.5051893645300315      0.12134406467907177      0.5140579089518403
-0.5                      -0.10657898057660001     0.592911214175743        -0.4837566549425106      0.011993534821022972     0.6372806478054452
-0.5                      -0.25                    0.6666666666666667       -0.46330534012287333     -0.08754147709327399     0.7852494780401565
-0.5                      -0.17691967740957942     0.6272028396633393       -0.47350080859445426     -0.038949645750980005    0.7053822158217878
-0.5                      -0.10657399127271536     0.6763469192971825       -0.4843925868799159      0.0530976400390424       0.7262372404813678
-0.49999999999999994      -0.176522629917824       0.7108375426951806       -0.4746893730766977      0.004446708761725926     0.7979034747608987
-0.5                      -0.25                    0.7500000000000001       -0.4650156707495814      -0.04279837281715079     0.881262780539572
-0.5                      0.1775966678044385       0.6250000000000002       -0.5265394596954346      0.31453521606233625      0.5468509388140043
-0.5                      0.25                     0.6666666666666667       -0.5366303957398392      0.4124120549725427       0.5481496260441285
-0.5                      -0.03587436774862901     0.6437195643449041       -0.4946228699262218      0.10559759162359846      0.6597425251921517
-0.5                      0.10510116989496258      0.5751548016104506       -0.5160465101403098      0.21551528262109731      0.5326747164264513
-0.49999999999999994      0.03347922260428255      0.6092354406188324       -0.5050101355768543      0.1581104254121103       0.595072864259104
-0.5                      0.1051020098898832       0.6592420305289421       -0.5154294541867431      0.2559013965621992       0.611232949278858
-0.5                      0.1775966678044385       0.7083333333333335       -0.5253899031092821      0.35726078250151         0.6210572055098248
-0.5                      0.25                     0.7500000000000001       -0.5348566861049933      0.4572155164659461       0.6188292672482718
-0.5                      0.03360510635468289      0.6933482500642238       -0.5048013910827213      0.20071023629119614      0.677405136548434
-0.5                      -0.03587272869632462     0.7270482715220531       -0.4948541299691893      0.14960740920948912      0.7448776914739766
-0.49999999999999994      -0.10650517817119302     0.759638448350318        -0.48514755385893915     0.09885911701081247      0.8147350023953251
-0.5                      -0.17556057307810233     0.795017423606519        -0.47613633799160476     0.053212329404983494     0.8902030099229892
