% Model:              cylinder.mph
% Version:            COMSOL 6.3.0.335
% Date:               Apr 22 2025, 10:05
% Dimension:          3
% Nodes:              2890
% Expressions:        3
% Description:        , , 
% Length unit:        m
% X                       Y                        Z                        x+u (m)                  y+v (m)                  z+w (m)
-0.03779384367359786      -0.4985695792769307      1.9603566852693122       -0.03236513990725866     -0.43405524926795624     3.0616557898525283
-9.184850993605148E-17    -0.5                     2                        -9.184850993605148E-17   -0.5                     3.11083002203429
-0.055982238051654115     -0.49685610494662125     2                        -0.055982238051654115    -0.4968561049466212      3.111565869734933
-9.184850993605148E-17    -0.5                     1.9428571428571428       4.514921717147751E-4     -0.41984546293568553     3.043367449483636
-0.1651395309775835       -0.47194166515418384     2                        -0.1651395309775835      -0.47194166515418384     3.111689022490669
-0.14266828301616666      -0.4792136903524554      1.9523003101982206       -0.12190512661960386     -0.4090548669341452      3.0530041203215563
-0.11126046697815717      -0.4874639560909118      2                        -0.11126046697815717     -0.4874639560909118      3.1111252106658287
-0.08802621453691044      -0.4921903956339476      1.946197130841664        -0.07466870112414337     -0.4141182397341029      3.045986197080888
-0.49842021316093343      -0.03971512448186084     1.962347024521501        -0.43806446632900514     -0.0345918757706582      3.066279990227766
-0.4968561049466213       -0.05598223805165399     2                        -0.4968561049466213      -0.055982238051654       3.111337483717259
-0.5                      6.123233995736766E-17    2                        -0.5                     6.123233995736766E-17    3.110481136827028
-0.044503391256910566     -0.49801550996593913     1.9127291526456895       -0.03508817695457752     -0.3968052580610267      3.007004108257954
-9.184850993605148E-17    -0.5                     1.885714285714286        -2.1308267374911188E-4   -0.3843728233765844      2.972652926015751
-0.4925785371761361       -0.08582764539131892     1.9553339101331881       -0.42423277795065006     -0.07480325761070326     3.0582919078755864
-0.4874639560909118       -0.11126046697815727     2                        -0.4874639560909118      -0.11126046697815727     3.1124344224845686
-0.47194166515418384      -0.1651395309775836      2                        -0.47194166515418384     -0.1651395309775836      3.1110595624103787
-0.48045866097254974      -0.13841775571242484     1.950650448154359        -0.4083842904564457      -0.11769819421051964     3.0508786894512543
-0.21694186955877903      -0.4504844339512096      2                        -0.21694186955877903     -0.4504844339512096      3.1125609156877316
-0.19134171618254517      -0.46193976625564326     1.950650448154359        -0.16166949898722968     -0.3925645840497353      3.0522858294509487
-0.26601603825766823      -0.4233620996141421      2                        -0.26601603825766823     -0.4233620996141421      3.1121373672847255
-0.24185944355262018      -0.4376117109543767      1.950650448154359        -0.20638741137329705     -0.3721239555118445      3.051476975681179
-0.4504844339512096       -0.21694186955877912     2                        -0.4504844339512096      -0.21694186955877912     3.111198182273432
-0.4619397662556433       -0.19134171618254503     1.950650448154359        -0.3927058443057771      -0.16235567562186512     3.050793393138409
-0.31174490092936674      -0.39091574123401496     2                        -0.31174490092936674     -0.39091574123401496     3.1109246059297146
-0.28933564808990314      -0.4077804344796299      1.950650448154359        -0.24648559465532768     -0.34711343293418123     3.0512939809565194
-0.35355339059327373      -0.3535533905932738      2                        -0.35355339059327373     -0.3535533905932738      3.1109705162764634
-0.333173288976002        -0.37282108244158274     1.9506504481543596       -0.2835575110236141      -0.3161532596087566      3.0503773780285406
-0.17006448605265165      -0.4701893986295815      1.9070328642178953       -0.1342177651791675      -0.3715238289671272      3.0000520021367865
-0.1277761625426792       -0.48339761303286016     1.9099214920565328       -0.1008715943019352      -0.3831455484720511      3.003043325417847
-0.09088312424304207      -0.49167088354693506     1.884106814048874        -0.06993435577507333     -0.3773877204300664      2.970178813392923
-0.04958405822529326      -0.4975353466537938      1.8571428571428572       -0.037009994318383664    -0.3713929029084518      2.9354269027457742
-0.5                      6.123233995736766E-17    1.9428571428571428       -0.4186920997437055      4.365635964130499E-4     3.0427748481884414
