% Model:              cylinder.mph
% Version:            COMSOL 6.3.0.335
% Date:               Apr 23 2025, 11:23
% Dimension:          3
% Nodes:              1264
% Expressions:        3
% Description:        , , 
% Length unit:        m
% X                       Y                        Z                        x+u (m)                  y+v (m)                  z+w (m)
-0.321393712601196        -0.38302229895976014     0                        -0.321393712601196       -0.3830222989597602      0
-0.3535533905932809       -0.3535533905932665      0.07637075547791561      -0.2917485298027111      -0.28882184079207424     0.1240043117833225
-0.3830222989597601       -0.321393712601196       0                        -0.3830222989597601      -0.321393712601196       0
-0.4074852695619796       -0.2897511951485288      0.07241548992287883      -0.3371649636327368      -0.2392159589127478      0.11458515694256795
-0.4330128608870344       -0.24999972461269993     0                        -0.43301286088703445     -0.24999972461269993     0
-0.45038880134256565      -0.2171403408517332      0.06946668483866336      -0.3720031489916909      -0.18062352464884313     0.11049836496472575
-0.4698464397831369       -0.17100971616581065     0                        -0.46984643978313684     -0.17100971616581065     0
-0.13006182987812964      -0.4827876556093294      0.06187914442846676      -0.10924300484444151     -0.4056096637727667      0.10078524071879659
-0.1710097161658105       -0.469846439783137       0                        -0.1710097161658105      -0.469846439783137       0
-0.0868158021507391       -0.49240533759995303     0                        -0.0868158021507391      -0.49240533759995303     0
-0.05918846175811519      -0.4964843663144976      0.054758509659567745     -0.050080838501046845    -0.4215451910509052      0.08878422406310753
0                         -0.5                     0                        0                        -0.5                     0
-0.24999972461269973      -0.43301286088703445     0                        -0.24999972461269973     -0.43301286088703445     0
-0.2866514053582683       -0.4096717854650595      0.07638758179624472      -0.2368434700007925      -0.337141163512384       0.1257966261745388
-0.21245288809096488      -0.4526187914148153      0.07378897469206737      -0.17377096381878357     -0.37236666452183154     0.1178138742753554
-0.32303536376950304      -0.38163877391363793     0.15504368673765256      -0.24274632636490087     -0.28686417160016625     0.23922882354405653
-0.07908121832470945      -0.4937065534386592      0.1322436923941197       -0.06155641163643289     -0.37978767111928263     0.20478922188899193
-0.17522246916715345      -0.4682916679794399      0.138162585811201        -0.1328205007192553      -0.3570488767483346      0.21283503684506752
-0.4970756029579413       -0.05399856427720228     0.05861155686907105      -0.4233010977210475      -0.045745792464565255    0.09439950675759441
-0.5                      0                        0                        -0.5                     0                        0
-0.492405337599953        -0.08681580215073931     0                        -0.4924053375999529      -0.08681580215073931     0
-0.5                      0                        0.08695652173913046      -0.40608190641791936     3.5185302540027954E-4    0.13885823734509858
-0.48160450327403614      -0.1343767183189445      0.07872435030452607      -0.394155658486199       -0.11138730913773617     0.12618392964654232
-0.49615394715897676      -0.061897178599410116    0.13005691245641537      -0.3826187135679371      -0.047891306077951716    0.20328875792194714
-0.3810037402361111       -0.3237841100580663      0.14726629292934024      -0.28859170997661726     -0.2445883922671672      0.22564028064182826
-0.42993510192057277      -0.25525635768095317     0.1373787749470068       -0.3281939306654435      -0.19504149787982802     0.21249858387958254
-0.4096965207094093       -0.28661605139734336     0.19966885002183798      -0.29886470393802667     -0.20951124790567638     0.3040747423584949
-0.48057930860578024      -0.13799829035169306     0.17496000875852236      -0.35601082061430517     -0.10312716358312994     0.2676400684407889
-0.46003805141679416      -0.1958698324108108      0.1320485988959721       -0.3533501676813373      -0.15049894878895492     0.20288609689564008
-0.3610104963654019       -0.3459355742244589      0.23309918148576236      -0.25870656879172355     -0.2477783649696947      0.3543913022308371
-0.13325880718152214      -0.48191502394982244     0.20127096105164677      -0.09714207232468089     -0.3513063314082078      0.30659532826029284
0                         -0.5                     0.08695652173913046      4.0778639381792426E-5    -0.4052215386116769      0.13677271373728375
-0.2518846947542589       -0.4319190902802906      0.14843626406197719      -0.191469094573236       -0.32510065303213675     0.229827356500367
-0.21036443406970146      -0.45359321520337376     0.22928690007197028      -0.1508694881487016      -0.3250353557137316      0.34954358763746435
-0.292850914403263        -0.40526329951424517     0.23148968558889452      -0.21015797180193943     -0.29039951692694993     0.3518494597153339
-0.3296460243100733       -0.3759434780077486      0.31760382525363773      -0.22996118961904075     -0.2622511722225896      0.48301395443012
-0.13575530156539528      -0.4812177242131555      0.2670677832044679       -0.09594040123732638     -0.3403594217237891      0.4057265834820301
-0.19236489347250166      -0.46151462355955        0.305017430259255        -0.13452143366159444     -0.32297139603881564     0.46372886409471803
-0.07138110133386355      -0.4948785086992206      0.22264561255639415      -0.051367427416786904    -0.35673352526165575     0.33932730205738576
0                         -0.5                     0.17391304347826092      -4.89483231580824E-4     -0.3712328518153605      0.2663379797683052
-0.07586637425010088      -0.494210778168732       0.3035312237889047       -0.05307099641212656     -0.3460651499196634      0.4614698080943515
-0.5                      0                        0.17391304347826092      -0.37013051859007534     4.757543698412448E-4     0.26593768265533596
-0.4943538666962613       -0.07492832897145753     0.21726883150809467      -0.3566973534134805      -0.054267346775830665    0.33042155052680927
-0.4494868447583954       -0.21900131595299197     0.21772487907175211      -0.32468496343082925     -0.15840259110893348     0.3309547631403705
-0.41308315227643877      -0.28171316849831585     0.27022400109137523      -0.2921365562198907      -0.19923693496236017     0.4103214878199082
-0.47793707335134766      -0.14688823614009577     0.2625131499658224       -0.3384137301780877      -0.10426964404218238     0.39873381129933594
-0.49418419431827654      -0.07603934564418455     0.30434782608695654      -0.3457552509896169      -0.053281091683212545    0.46260604462315014
-0.4506502037848151       -0.21659730799043803     0.3065967547875          -0.31510828374135785     -0.1516508158819652      0.4660358171920774
-0.3810649707680368       -0.3237120449621164      0.31349301525468554      -0.2662137263473191      -0.22604074970832336     0.4769883544969217
-0.41428838262509265      -0.2799377359733497      0.3512943300963718       -0.28732197091048134     -0.19414674776103658     0.5352444700957206
-0.2552099909872357       -0.42996262686458586     0.3014812976325071       -0.17871848285947922     -0.30100122863613105     0.45825489954517945
-0.278427611870338        -0.41530478560712536     0.3660234490111775       -0.1926182921270706      -0.2873454067505664      0.5585243060358411
-0.3159784293988584       -0.387501783421226       0.3965336577310153       -0.2178164739412825      -0.2671347189936394      0.6061530874848793
-0.36632687796125174      -0.3403007764950915      0.3961048252179292       -0.25245804173071007     -0.23463448022332933     0.6055718450278581
-0.21727650265066087      -0.45032312998101426     0.37809273406151306      -0.1500096912892667      -0.3110967309153268      0.577142827027771
-0.1431100220633556       -0.4790819570647864      0.3478683300011435       -0.09915713020484386     -0.3323332081635773      0.5300054712860849
0                         -0.5                     0.26086956521739135      -5.454200291348957E-5    -0.3543897891105759      0.39613055878591513
0                         -0.5                     0.34782608695652184      9.278686756604768E-5     -0.34685791820268475     0.5300241501217097
-0.1498497239377459       -0.4770168343316421      0.4296342642737092       -0.10294784650132933     -0.3279100685703877      0.6585248695764258
-0.07590215078579098      -0.49420528478162906     0.3891946802146331       -0.052260543032220365    -0.34098161185217446     0.5946208229978419
-0.5                      0                        0.26086956521739135      -0.3543228803832792      -9.631212955164987E-5    0.39612528639029015
-0.5                      0                        0.34782608695652184      -0.346873360757268       -8.90150291933837E-6     0.5299433527837163
