% Model:              cylinder.mph
% Version:            COMSOL 6.3.0.335
% Date:               Apr 23 2025, 11:25
% Dimension:          3
% Nodes:              1264
% Expressions:        3
% Description:        , , 
% Length unit:        m
% X                       Y                        Z                        x+u (m)                  y+v (m)                  z+w (m)
-0.321393712601196        -0.38302229895976014     0                        -0.321393712601196       -0.3830222989597602      0
-0.3535533905932809       -0.3535533905932665      0.07637075547791561      -0.4153582513838507      -0.4182849403944588      0.02873719917250871
-0.3830222989597601       -0.321393712601196       0                        -0.3830222989597601      -0.321393712601196       0
-0.4074852695619796       -0.2897511951485288      0.07241548992287883      -0.4778055754912223      -0.3402864313843099      0.030245822903189713
-0.4330128608870344       -0.24999972461269993     0                        -0.43301286088703445     -0.24999972461269993     0
-0.45038880134256565      -0.2171403408517332      0.06946668483866336      -0.5287744536934403      -0.2536571570546233      0.028435004712600975
-0.4698464397831369       -0.17100971616581065     0                        -0.46984643978313684     -0.17100971616581065     0
-0.13006182987812964      -0.4827876556093294      0.06187914442846676      -0.15088065491181776     -0.5599656474458921      0.02297304813813693
-0.1710097161658105       -0.469846439783137       0                        -0.1710097161658105      -0.469846439783137       0
-0.0868158021507391       -0.49240533759995303     0                        -0.0868158021507391      -0.49240533759995303     0
-0.05918846175811519      -0.4964843663144976      0.054758509659567745     -0.06829608501518354     -0.5714235415780899      0.020732795256027975
0                         -0.5                     0                        0                        -0.5                     0
-0.24999972461269973      -0.43301286088703445     0                        -0.24999972461269973     -0.43301286088703445     0
-0.2866514053582683       -0.4096717854650595      0.07638758179624472      -0.33645934071574407     -0.48220240741773507     0.026978537417950633
-0.21245288809096488      -0.4526187914148153      0.07378897469206737      -0.2511348123631461      -0.5328709183077991      0.029764075108779292
-0.32303536376950304      -0.38163877391363793     0.15504368673765256      -0.4033244011741051      -0.4764133762271095      0.07085854993124861
-0.07908121832470945      -0.4937065534386592      0.1322436923941197       -0.09660602501298599     -0.6076254357580358      0.05969816289924747
-0.17522246916715345      -0.4682916679794399      0.138162585811201        -0.2176244376150516      -0.5795344592105452      0.06349013477733449
-0.4970756029579413       -0.05399856427720228     0.05861155686907105      -0.5708501081948351      -0.06225133608983929     0.022823606980547695
-0.5                      0                        0                        -0.5                     0                        0
-0.492405337599953        -0.08681580215073931     0                        -0.4924053375999529      -0.08681580215073931     0
-0.5                      0                        0.08695652173913046      -0.5939180935820806      -3.518530254002649E-4    0.03505480613316239
-0.48160450327403614      -0.1343767183189445      0.07872435030452607      -0.5690533480618732      -0.1573661275001528      0.031264770962509854
-0.49615394715897676      -0.061897178599410116    0.13005691245641537      -0.6096891807500163      -0.07590305112086852     0.05682506699088357
-0.3810037402361111       -0.3237841100580663      0.14726629292934024      -0.47341577049560496     -0.4029798278489654      0.06889230521685225
-0.42993510192057277      -0.25525635768095317     0.1373787749470068       -0.5316762731757021      -0.31547121748207824     0.06225896601443106
-0.4096965207094093       -0.28661605139734336     0.19966885002183798      -0.520528337480792       -0.36372085488901035     0.09526295768518107
-0.48057930860578024      -0.13799829035169306     0.17496000875852236      -0.6051477965972553      -0.17286941712025616     0.08227994907625578
-0.46003805141679416      -0.1958698324108108      0.1320485988959721       -0.566725935152251       -0.24124071603266667     0.061211100896304105
-0.3610104963654019       -0.3459355742244589      0.23309918148576236      -0.4633144239390803      -0.4440927834792232      0.1118070607406876
-0.13325880718152214      -0.48191502394982244     0.20127096105164677      -0.16937554203836339     -0.6125237164914371      0.09594659384300068
0                         -0.5                     0.08695652173913046      -4.0778639381788015E-5   -0.594778461388323       0.03714032974097719
-0.2518846947542589       -0.4319190902802906      0.14843626406197719      -0.3123002949352818      -0.5387375275284444      0.06704517162358738
-0.21036443406970146      -0.45359321520337376     0.22928690007197028      -0.26985937999070136     -0.5821510746930159      0.10903021250647618
-0.292850914403263        -0.40526329951424517     0.23148968558889452      -0.3755438570045866      -0.5201270821015404      0.11112991146245514
-0.3296460243100733       -0.3759434780077486      0.31760382525363773      -0.4293308590011059      -0.4896357837929076      0.15219369607715535
-0.13575530156539528      -0.4812177242131555      0.2670677832044679       -0.1755702018934642      -0.6220760267025219      0.1284089829269057
-0.19236489347250166      -0.46151462355955        0.305017430259255        -0.2502083532834089      -0.6000578510802843      0.1463059964237919
-0.07138110133386355      -0.4948785086992206      0.22264561255639415      -0.0913947752509402      -0.6330234921367853      0.10596392305540248
0                         -0.5                     0.17391304347826092      4.894832315808104E-4     -0.6287671481846395      0.08148810718821663
-0.07586637425010088      -0.494210778168732       0.3035312237889047       -0.09866175208807525     -0.6423564064178006      0.14559263948345783
-0.5                      0                        0.17391304347826092      -0.6298694814099247      -4.7575436984122844E-4   0.08188840430118575
-0.4943538666962613       -0.07492832897145753     0.21726883150809467      -0.6320103799790421      -0.09558931116708437     0.10411611248938013
-0.4494868447583954       -0.21900131595299197     0.21772487907175211      -0.5742887260859614      -0.2796000407970504      0.10449499500313374
-0.41308315227643877      -0.28171316849831585     0.27022400109137523      -0.5340297483329869      -0.3641894020342715      0.13012651436284228
-0.47793707335134766      -0.14688823614009577     0.2625131499658224       -0.6174604165246076      -0.1895068282380092      0.12629248863230888
-0.49418419431827654      -0.07603934564418455     0.30434782608695654      -0.6426131376469363      -0.09879759960515654     0.14608960755076292
-0.4506502037848151       -0.21659730799043803     0.3065967547875          -0.5861921238282725      -0.28154380009891083     0.14715769238292256
-0.3810649707680368       -0.3237120449621164      0.31349301525468554      -0.4959162151887545      -0.42138334021590945     0.14999767601244948
-0.41428838262509265      -0.2799377359733497      0.3512943300963718       -0.5412547943397038      -0.3657287241856628      0.16734419009702298
-0.2552099909872357       -0.42996262686458586     0.3014812976325071       -0.3317014991149922      -0.5589240250930407      0.14470769571983466
-0.278427611870338        -0.41530478560712536     0.3660234490111775       -0.3642369316136054      -0.5432641644636842      0.17352259198651387
-0.3159784293988584       -0.387501783421226       0.3965336577310153       -0.41414038485643434     -0.5078688478488126      0.18691422797715124
-0.36632687796125174      -0.3403007764950915      0.3961048252179292       -0.4801957141917934      -0.44596707276685355     0.18663780540800032
-0.21727650265066087      -0.45032312998101426     0.37809273406151306      -0.284543314012055       -0.5895495290467018      0.17904264109525506
-0.1431100220633556       -0.4790819570647864      0.3478683300011435       -0.18706291392186736     -0.6258307059659954      0.16573118871620204
0                         -0.5                     0.26086956521739135      5.4542002913502665E-5    -0.645610210889424       0.12560857164886755
0                         -0.5                     0.34782608695652184      -9.278686756605108E-5    -0.6531420817973154      0.1656280237913341
-0.1498497239377459       -0.4770168343316421      0.4296342642737092       -0.1967516013741625      -0.6261236000928965      0.20074365897099275
-0.07590215078579098      -0.49420528478162906     0.3891946802146331       -0.09954375853936158     -0.6474289577110836      0.1837685374314242
-0.5                      0                        0.26086956521739135      -0.6456771196167209      9.631212955166014E-5     0.12561384404449252
-0.5                      0                        0.34782608695652184      -0.6531266392427321      8.901502919325806E-6     0.1657088211293274
-0.49419033556011366      -0.07599942262268991     0.3913043478260871       -0.6476157159158838      -0.09951829376092795     0.18461498082270647
-0.4768704729359274       -0.15031484305239085     0.34786230081504105      -0.6229815199730444      -0.19623644780908933     0.16566677963860343
-0.450589115086603        -0.2167243626486696      0.3934153124646596       -0.5905315851625903      -0.2839198832683258      0.18551676938971343
-0.4155870909755089       -0.27800606075140544     0.43903515176381797      -0.5457142627031102      -0.3649378393238643      0.20463441777198718
-0.2713725571910704       -0.41994872925582144     0.4306620195746084       -0.3563204642595142      -0.5511705556973542      0.20119568019245673
-0.32932725425188175      -0.37622275264385124     0.46501988455307136      -0.4327880116762462      -0.4942862788180797      0.2152859090238799
-0.37487084659663117      -0.3308653024599662      0.48770533164952096      -0.4928207420010445      -0.434893411653036       0.2244462911605727
-0.21585120643948236      -0.451008045026494       0.465530384906924        -0.2837205429141734      -0.5926287029952676      0.21552002342562515
-0.1491111785319902       -0.4772482126072353      0.5186428232354194       -0.19620661499410932     -0.6275623971449212      0.23675011803630497
0                         -0.5                     0.43478260869565233      -5.53633322419508E-5     -0.6563680447733914      0.20293740304498928
-0.07601059835859304      -0.49418861676203013     0.4782608695652174       -0.0999742065459177      -0.6494782477521693      0.2206348029503439
-0.4768765226127628       -0.15029564924095126     0.43476527151967115      -0.6261178461669976      -0.1972610607499425      0.20285969671618118
-0.45217464356424336      -0.2133965597603426      0.4791896183263029       -0.5943965558170606      -0.280426183057858       0.22105078753980292
-0.5                      0                        0.43478260869565233      -0.6565007862660687      6.508496663496691E-5     0.20290283897721825
-0.49418739624314856      -0.07601853322984684     0.4782608695652176       -0.6496168863498418      -0.09985757885328016     0.22065790340816457
-0.4781095052737238       -0.1463260091949312      0.5219558304975654       -0.6288837681559908      -0.19237815416871903     0.23805918379589366
-0.5                      0                        0.5217391304347827       -0.657681319792537       5.763964852473722E-5     0.23798156015124453
-0.4195019267623456       -0.27206273806363057     0.5245576383093271       -0.5517995348298542      -0.35777452334735577     0.23909262584980628
-0.4536750982711027       -0.2101877855839993      0.5662890761083424       -0.5968763235419036      -0.2764429122302285      0.25538403221652545
-0.42060934655889676      -0.27034751263382817     0.6154674934580457       -0.5533567756425501      -0.3555892057722185      0.2742108025268974
